"id","ano","qntd_aulas","qntd_laboratorios","sd_descricao","id_disciplina"
1,2024,2,0,"Turma Única",5
2,2024,2,0,"Turma Única",6
3,2024,2,0,"Turma Única",7
4,2024,2,0,"Turma Única",8
5,2024,2,0,"Turma Única",9
6,2024,7,1,"Turma Única",10
7,2024,2,0,"Turma Única",11
8,2024,2,0,"Turma Única",12
9,2024,1,0,"Turma Única",13
10,2024,5,0,"Turma Única",14
11,2024,2,0,"Turma Única",10
12,2024,2,1,"Turma Única",15
13,2024,2,1,"Turma Única",15
14,2024,4,1,"Turma Única",71
15,2024,1,0,"Turma Única",17
16,2024,3,1,"Turma Única",70
17,2024,4,0,"Turma Única",19
18,2024,2,0,"Turma Única",20
19,2024,2,0,"Turma Única",21
20,2024,3,1,"Turma Única",22
21,2024,3,2,"Turma Única",23
22,2024,2,0,"Turma Única",24
23,2024,2,0,"Turma Única",25
24,2024,1,0,"Turma Única",26
25,2024,2,0,"Turma Única",27
26,2024,2,0,"Turma Única",28
27,2024,7,1,"Turma Única",10
28,2024,1,0,"Turma Única",29
29,2024,2,0,"Turma Única",30
30,2024,2,0,"Turma Única",11
31,2024,1,0,"Turma Única",31
32,2024,2,0,"Turma Única",3
33,2024,2,0,"Turma Única",12
34,2024,2,0,"Turma Única",33
35,2024,3,0,"Turma Única",34
36,2024,3,0,"Turma Única",35
37,2024,1,0,"Turma Única",13
38,2024,2,0,"Turma Única",36
39,2024,1,0,"Turma Única",37
40,2024,2,0,"Turma Única",27
41,2024,2,0,"Turma Única",28
42,2024,5,0,"Turma Única",14
43,2024,2,0,"Turma Única",10
44,2024,1,0,"Turma Única",29
45,2024,2,0,"Turma Única",30
46,2024,2,0,"Turma Única",31
47,2024,2,0,"Turma Única",3
48,2024,2,1,"Turma Única",15
49,2024,2,0,"Turma Única",33
50,2024,3,0,"Turma Única",34
51,2024,3,0,"Turma Única",35
52,2024,2,0,"Turma Única",36
53,2024,1,0,"Turma Única",17
54,2024,1,0,"Turma Única",37
55,2024,2,0,"Turma Única",27
56,2024,4,0,"Turma Única",19
57,2024,1,0,"Turma Única",29
58,2024,3,0,"Turma Única",30
59,2024,2,0,"Turma Única",31
60,2024,2,0,"Turma Única",20
61,2024,2,0,"Turma Única",3
62,2024,2,0,"Turma Única",21
63,2024,4,0,"Turma Única",34
64,2024,4,0,"Turma Única",35
65,2024,3,0,"Turma Única",36
66,2024,2,0,"Turma Única",24
67,2024,1,0,"Turma Única",37
68,2024,2,0,"Turma Única",25
69,2024,2,0,"Turma Única",38
70,2024,2,0,"Turma Única",11
71,2024,2,1,"Turma Única",39
72,2024,2,0,"Turma Única",12
73,2024,2,1,"Turma Única",40
74,2024,2,0,"Turma Única",41
75,2024,1,0,"Turma Única",13
76,2024,1,0,"Turma Única",17
77,2024,3,1,"Turma Única",42
78,2024,3,1,"Turma Única",43
79,2024,3,1,"Turma Única",44
80,2024,2,0,"Turma Única",20
81,2024,3,1,"Turma Única",45
82,2024,2,1,"Turma Única",46
83,2024,2,1,"Turma Única",47
84,2024,3,1,"Turma Única",48
85,2024,2,1,"Turma Única",49
86,2024,2,0,"Turma Única",72
87,2024,2,0,"Turma Única",21
88,2024,3,1,"Turma Única",73
89,2024,3,1,"Turma Única",74
90,2024,3,1,"Turma Única",75
91,2024,1,0,"Turma Única",26
92,2024,2,0,"Turma Única",27
93,2024,2,0,"Turma Única",28
94,2024,2,0,"Turma Única",38
95,2024,1,0,"Turma Única",29
96,2024,2,0,"Turma Única",30
97,2024,2,0,"Turma Única",11
98,2024,1,0,"Turma Única",31
99,2024,2,0,"Turma Única",3
100,2024,2,0,"Turma Única",39
101,2024,2,0,"Turma Única",12
102,2024,2,0,"Turma Única",40
103,2024,2,0,"Turma Única",33
104,2024,3,0,"Turma Única",34
105,2024,3,0,"Turma Única",35
106,2024,2,0,"Turma Única",41
107,2024,1,0,"Turma Única",13
108,2024,2,0,"Turma Única",36
109,2024,1,0,"Turma Única",17
110,2024,1,0,"Turma Única",37
111,2024,1,0,"Turma Única",26
112,2024,2,0,"Turma Única",27
113,2024,2,0,"Turma Única",28
114,2024,2,0,"Turma Única",38
115,2024,1,0,"Turma Única",29
116,2024,2,0,"Turma Única",30
117,2024,2,0,"Turma Única",11
118,2024,1,0,"Turma Única",31
119,2024,2,0,"Turma Única",3
120,2024,2,0,"Turma Única",39
121,2024,2,0,"Turma Única",12
122,2024,2,0,"Turma Única",40
123,2024,2,0,"Turma Única",33
124,2024,3,0,"Turma Única",34
125,2024,3,0,"Turma Única",35
126,2024,2,0,"Turma Única",41
127,2024,1,0,"Turma Única",13
128,2024,2,0,"Turma Única",36
129,2024,1,0,"Turma Única",17
130,2024,1,0,"Turma Única",37
131,2024,3,0,"Turma Única",42
132,2024,3,0,"Turma Única",43
133,2024,2,0,"Turma Única",27
134,2024,2,0,"Turma Única",28
135,2024,1,0,"Turma Única",29
136,2024,2,0,"Turma Única",30
137,2024,2,0,"Turma Única",31
138,2024,2,0,"Turma Única",20
139,2024,2,0,"Turma Única",3
140,2024,2,0,"Turma Única",46
141,2024,2,0,"Turma Única",33
142,2024,3,0,"Turma Única",34
143,2024,3,0,"Turma Única",35
144,2024,2,0,"Turma Única",36
145,2024,2,0,"Turma Única",47
146,2024,1,0,"Turma Única",37
147,2024,3,0,"Turma Única",42
148,2024,3,0,"Turma Única",43
149,2024,2,0,"Turma Única",27
150,2024,2,0,"Turma Única",28
151,2024,1,0,"Turma Única",29
152,2024,2,0,"Turma Única",30
153,2024,2,0,"Turma Única",31
154,2024,2,0,"Turma Única",20
155,2024,2,0,"Turma Única",3
156,2024,2,0,"Turma Única",46
157,2024,2,0,"Turma Única",33
158,2024,3,0,"Turma Única",34
159,2024,3,0,"Turma Única",35
160,2024,2,0,"Turma Única",36
161,2024,2,0,"Turma Única",47
162,2024,1,0,"Turma Única",37
163,2024,3,0,"Turma Única",48
164,2024,2,0,"Turma Única",49
165,2024,2,0,"Turma Única",27
166,2024,1,0,"Turma Única",29
167,2024,3,0,"Turma Única",30
168,2024,2,0,"Turma Única",31
169,2024,2,0,"Turma Única",72
170,2024,2,0,"Turma Única",3
171,2024,2,0,"Turma Única",21
172,2024,3,1,"Turma Única",73
173,2024,3,1,"Turma Única",74
174,2024,3,1,"Turma Única",75
175,2024,4,0,"Turma Única",34
176,2024,4,0,"Turma Única",35
177,2024,3,0,"Turma Única",36
178,2024,1,0,"Turma Única",37
179,2024,3,0,"Turma Única",48
180,2024,2,0,"Turma Única",49
181,2024,2,0,"Turma Única",27
182,2024,1,0,"Turma Única",29
183,2024,3,0,"Turma Única",30
184,2024,2,0,"Turma Única",31
185,2024,2,0,"Turma Única",72
186,2024,2,0,"Turma Única",3
187,2024,2,0,"Turma Única",21
188,2024,3,1,"Turma Única",73
189,2024,3,1,"Turma Única",74
190,2024,3,0,"Turma Única",75
191,2024,4,0,"Turma Única",34
192,2024,4,0,"Turma Única",35
193,2024,3,0,"Turma Única",36
194,2024,1,0,"Turma Única",37
195,2024,2,0,"Turma Única",50
196,2024,2,0,"Turma Única",11
197,2024,2,0,"Turma Única",12
