"id","id_atribuicao","id_lab"
16,6,7
17,12,5
18,13,5
19,14,7
20,16,8
21,20,9
22,21,7
23,21,8
24,27,7
25,48,5
26,71,3
27,71,4
28,71,13
29,73,3
30,77,4
31,77,5
32,77,6
33,77,13
34,78,4
35,78,5
36,78,6
37,78,13
38,79,4
39,79,5
40,79,6
41,79,13
42,81,4
43,81,5
44,81,6
45,81,13
46,82,4
47,82,5
48,82,6
49,82,13
50,83,4
51,83,5
52,83,6
53,83,13
54,84,5
55,84,6
56,85,5
57,85,6
58,88,5
59,88,6
60,89,5
61,89,6
62,90,5
63,90,6
64,100,3
65,100,4
66,100,13
67,102,3
72,120,3
73,120,4
74,120,13
75,122,3
76,131,4
77,131,5
78,131,6
79,131,13
80,132,4
81,132,5
82,132,6
83,132,13
84,140,4
85,140,5
86,140,6
87,140,13
88,145,4
89,145,5
90,145,6
91,145,13
92,147,4
93,147,5
94,147,6
95,147,13
96,148,4
97,148,5
98,148,6
99,148,13
100,156,4
101,156,5
102,156,6
103,156,13
104,161,4
105,161,5
106,161,6
107,161,13
108,163,5
109,163,6
110,164,5
111,164,6
162,172,5
163,172,6
164,173,5
165,173,6
166,174,5
167,174,6
168,179,5
169,179,6
170,180,5
171,180,6
172,188,5
173,188,6
174,189,5
175,189,6
176,190,5
177,190,6
178,205,9
179,208,10
180,210,11
181,256,11
182,257,11
183,258,11
184,259,11
185,260,11
186,261,11
187,262,11
188,263,11
189,264,11
190,265,11
191,266,11
192,267,11
193,268,11
194,269,11
195,270,11
196,271,2
197,272,1
198,274,2
199,275,1
200,277,2
201,278,1
202,280,2
203,281,1
204,283,2
205,284,1
206,286,2
207,287,1
208,289,2
209,290,1
210,292,2
211,293,1
212,295,8
213,296,8
214,297,3
215,298,3
216,299,7
217,300,7
218,305,8
219,306,8
220,307,3
221,308,3
222,309,7
223,310,7
224,315,7
225,316,7
226,317,8
227,318,8
228,321,7
229,322,7
230,323,8
231,323,9
232,324,8
233,324,9
234,327,3
235,328,3
236,329,4
237,330,4
238,333,3
239,334,3
240,335,4
241,336,4
242,339,3
243,340,3
244,341,4
245,342,4
246,345,5
247,346,5
248,347,6
249,348,6
250,351,5
251,352,5
252,353,6
253,354,6
254,357,5
255,358,5
256,359,13
257,360,13
258,363,5
259,364,5
260,365,13
261,366,13
262,369,10
263,370,10
264,371,13
265,372,13
266,375,10
267,376,10
268,377,13
269,378,13
270,381,9
271,382,9
272,383,10
273,384,10
280,387,13
281,388,13
282,389,14
283,390,14
