"id","id_atribuicao","id_professor"
8,1,64
9,2,64
29,3,64
62,4,64
63,5,64
64,6,18
65,7,19
66,8,20
67,9,21
68,10,22
69,11,23
70,12,24
71,13,23
72,14,18
73,15,25
74,16,26
75,17,27
76,18,28
77,19,29
79,20,27
80,21,30
81,22,30
82,23,24
83,24,31
84,25,32
85,26,33
86,27,34
87,28,35
88,29,36
89,30,37
90,31,38
91,32,39
92,33,20
93,34,40
94,35,41
95,36,37
96,37,21
97,38,42
98,39,31
99,40,32
100,41,33
101,42,22
102,43,23
103,44,35
104,45,36
105,46,38
106,47,39
107,48,24
108,49,40
109,50,41
110,51,19
111,52,43
112,53,41
113,54,31
114,55,44
115,56,27
116,57,35
117,58,45
118,59,38
119,60,28
120,61,46
121,62,29
122,63,25
123,64,19
124,65,43
125,66,30
126,67,31
127,68,24
128,69,47
129,70,19
130,71,54
131,72,20
132,73,48
133,74,47
134,75,21
137,76,25
139,77,49
140,78,50
142,79,51
143,80,28
144,81,52
145,82,50
146,83,52
147,84,49
148,85,49
149,86,28
150,87,29
151,88,53
152,89,50
153,90,51
154,91,31
155,92,32
156,93,33
157,94,47
158,95,35
159,96,45
160,97,37
161,98,38
162,99,39
163,100,54
164,101,20
165,102,48
166,103,40
167,104,41
169,106,47
170,107,21
171,108,42
172,109,41
173,110,31
174,111,31
175,112,32
176,113,33
177,114,47
178,115,35
179,116,45
180,117,37
181,118,38
189,119,39
190,120,54
191,121,20
192,122,48
193,123,40
194,124,41
195,125,37
196,126,47
197,127,21
198,128,42
199,129,41
200,130,31
201,131,49
202,132,50
203,133,32
204,134,33
205,135,35
206,136,36
207,137,38
208,138,28
209,139,39
210,140,50
211,141,40
212,142,41
213,143,19
214,144,43
215,145,52
216,146,31
217,147,49
218,148,50
219,149,32
220,150,33
221,151,35
222,152,36
223,153,38
224,154,28
225,155,39
226,156,50
227,157,40
228,158,41
229,159,19
230,160,43
231,161,52
232,162,31
233,163,49
234,164,49
388,165,32
389,166,35
390,167,45
391,168,38
392,169,28
393,170,46
394,171,29
395,172,53
396,173,50
397,174,51
398,175,25
399,176,47
400,177,43
401,178,31
402,179,49
403,180,49
404,181,32
405,182,35
406,183,45
407,184,38
408,185,28
409,186,46
410,187,29
411,188,53
412,189,50
413,190,51
414,191,25
415,192,47
416,193,43
417,194,31
418,195,56
419,196,19
420,197,20
421,198,21
422,199,55
423,200,56
424,201,29
425,202,56
426,203,57
427,204,25
428,205,23
429,206,58
430,207,28
431,208,59
432,209,60
433,210,55
434,211,60
435,212,31
436,213,32
437,214,56
438,215,33
439,216,35
440,217,36
441,218,19
442,219,38
443,220,39
444,221,20
445,222,40
446,223,41
447,224,37
448,225,21
449,226,42
450,227,31
451,228,55
452,229,32
453,230,56
454,231,33
455,232,35
456,233,36
457,234,38
458,235,39
459,236,29
460,237,56
461,238,40
462,239,25
463,240,19
464,241,57
465,242,61
466,243,25
467,244,31
468,245,44
469,246,35
470,247,45
471,248,38
472,249,28
473,250,46
474,251,25
475,252,60
476,253,47
477,254,43
478,255,31
479,256,55
480,256,57
481,256,56
482,257,55
483,257,57
484,257,56
485,258,55
486,258,57
487,258,56
488,259,59
489,259,57
490,259,55
491,260,59
492,260,57
493,260,55
494,261,59
495,261,57
496,261,55
497,262,57
498,262,55
499,262,62
500,263,57
501,263,55
502,263,62
503,264,57
504,264,55
505,264,62
506,265,57
507,265,59
508,265,62
509,266,57
510,266,59
511,266,62
512,267,57
513,267,59
514,267,62
515,268,62
516,268,57
517,268,59
518,269,62
519,269,57
520,269,59
521,270,62
522,270,57
523,270,59
524,271,36
525,272,42
526,274,36
527,275,43
528,277,45
529,278,42
530,280,45
531,281,42
532,283,36
533,284,43
534,286,36
535,287,43
536,289,36
537,290,42
538,292,36
539,293,61
542,295,26
543,296,26
544,297,18
545,298,18
546,299,18
547,300,18
548,305,26
549,306,26
550,307,18
551,308,18
552,309,18
553,310,18
554,315,34
555,316,34
556,317,26
557,318,26
558,321,27
559,322,27
560,323,30
561,324,30
562,327,54
563,328,54
564,329,48
565,330,48
566,333,54
567,334,54
568,335,48
569,336,48
570,339,54
571,340,54
572,341,48
573,342,48
574,345,51
575,346,51
576,347,52
577,348,52
578,351,51
579,352,51
580,353,52
581,354,52
582,357,62
583,358,62
584,359,56
585,360,56
586,363,58
587,364,58
588,365,56
589,366,56
590,369,58
591,370,58
592,371,62
593,372,62
594,375,58
595,376,58
596,377,59
597,378,59
598,381,23
599,382,23
600,383,59
601,384,59
610,387,58
611,388,58
612,389,60
613,390,60
616,105,37
